1000
ID;Titulo;Autor;Paginas;Ejemplares;Generos
LIB332;Libro_332;Autor_332;373;2;fantasia-fotografia-religion
LIB333;Libro_333;Autor_333;992;4;investigacion-juegos-politica
LIB334;Libro_334;Autor_334;719;2;biografia-cine-ensayo-juegos-politica
LIB335;Libro_335;Autor_335;730;3;arte-biografia-ensayo-investigacion-politica
LIB336;Libro_336;Autor_336;277;2;gastronomia-humor-moda
LIB337;Libro_337;Autor_337;733;3;gastronomia-juegos-poesia-politica-religion
LIB338;Libro_338;Autor_338;561;1;arte-biografia-ciencia-infantil
LIB339;Libro_339;Autor_339;990;3;thriller-viajes
LIB340;Libro_340;Autor_340;983;2;biografia-infantil-leyendas-moda-viajes
LIB341;Libro_341;Autor_341;309;3;arte-fantasia-humor-infantil-moda
LIB342;Libro_342;Autor_342;887;2;ciencia-poesia-politica-viajes
LIB343;Libro_343;Autor_343;800;1;leyendas-thriller
LIB344;Libro_344;Autor_344;928;5;biografia-relatos-religion-thriller
LIB345;Libro_345;Autor_345;581;5;arte-juegos-poesia-religion
LIB346;Libro_346;Autor_346;638;1;drama-fotografia-gastronomia-investigacion-poesia
LIB347;Libro_347;Autor_347;852;4;fantasia-gastronomia-politica-relatos-thriller
LIB348;Libro_348;Autor_348;859;4;arte-investigacion-juegos
LIB349;Libro_349;Autor_349;203;1;drama-investigacion
LIB350;Libro_350;Autor_350;598;5;arte-juegos-moda-religion
LIB351;Libro_351;Autor_351;975;4;biografia-infantil-juegos-poesia-politica
LIB352;Libro_352;Autor_352;961;5;ciencia-thriller
LIB353;Libro_353;Autor_353;493;5;infantil-relatos
LIB354;Libro_354;Autor_354;784;3;cine-ensayo-fantasia-politica
LIB355;Libro_355;Autor_355;914;1;biografia-juegos-politica-religion
LIB356;Libro_356;Autor_356;295;2;arte-gastronomia-infantil-investigacion-poesia
LIB357;Libro_357;Autor_357;140;4;cine-infantil-juegos-relatos
LIB358;Libro_358;Autor_358;940;1;arte-ciencia-moda
LIB359;Libro_359;Autor_359;751;5;fantasia-investigacion-thriller-viajes
LIB360;Libro_360;Autor_360;786;1;biografia-poesia-thriller
LIB361;Libro_361;Autor_361;962;5;biografia-religion
LIB362;Libro_362;Autor_362;985;4;infantil-juegos-politica
LIB363;Libro_363;Autor_363;1025;1;infantil-poesia
LIB364;Libro_364;Autor_364;921;1;drama-gastronomia
LIB365;Libro_365;Autor_365;234;2;thriller-viajes
LIB366;Libro_366;Autor_366;101;3;poesia-politica
LIB367;Libro_367;Autor_367;456;2;juegos
LIB368;Libro_368;Autor_368;382;1;biografia-drama-fantasia-humor-viajes
LIB369;Libro_369;Autor_369;262;3;drama-gastronomia-infantil-poesia
LIB370;Libro_370;Autor_370;331;1;arte-fantasia-humor-politica-relatos-religion
LIB371;Libro_371;Autor_371;372;1;arte-ensayo-infantil-investigacion
LIB372;Libro_372;Autor_372;997;3;drama-juegos-leyendas-poesia
LIB373;Libro_373;Autor_373;178;3;gastronomia-infantil-poesia-politica
LIB374;Libro_374;Autor_374;763;3;cine
LIB375;Libro_375;Autor_375;800;2;gastronomia-humor-politica
LIB376;Libro_376;Autor_376;116;3;cine-fantasia-fotografia-moda
LIB377;Libro_377;Autor_377;921;4;cine-drama-fantasia-leyendas-poesia
LIB378;Libro_378;Autor_378;991;5;biografia-ciencia-fotografia-leyendas-thriller
LIB379;Libro_379;Autor_379;715;2;arte-fantasia-fotografia-gastronomia
LIB380;Libro_380;Autor_380;341;5;gastronomia-moda-politica-religion-viajes
LIB381;Libro_381;Autor_381;233;1;fotografia-investigacion-leyendas
LIB382;Libro_382;Autor_382;978;4;biografia-humor
LIB383;Libro_383;Autor_383;293;1;drama-juegos-poesia-religion
LIB384;Libro_384;Autor_384;884;5;ciencia-religion
LIB385;Libro_385;Autor_385;721;1;arte-cine-drama-fotografia-juegos-thriller
LIB386;Libro_386;Autor_386;524;3;ciencia-relatos-viajes
